id,score,season,name
105065,0.001322346,2015,Tim Smyczek
104252,0.001276261,2015,Florian Mayer
103888,0.001240493,2015,Mardy Fish
103600,0.001240345,2015,Mohammad Ghareeb
103499,0.001210451,2015,Aqeel Khan
105487,0.001208438,2015,Facundo Bagnis
105526,0.001205742,2015,Jan Lennard Struff
103720,0.001205714,2015,Lleyton Hewitt
104386,0.001176734,2015,Janko Tipsarevic
104535,0.001152754,2015,Daniel Garza
104897,0.00113943,2015,Matthias Bachinger
105842,0.001111613,2015,Di Wu
105985,0.001090116,2015,Darian King
105030,0.00107958,2015,Michael Venus
104467,0.001079111,2015,Lamine Ouahab
111577,0.001068027,2015,Jared Donaldson
105954,0.001067878,2015,Peter Nagy
104868,0.001052483,2015,James Ward
106415,0.001035742,2015,Yoshihito Nishioka
105441,0.001033713,2015,John Patrick Smith
106121,0.001025829,2015,Taro Daniel
104882,0.001019487,2015,Blaz Kavcic
105357,0.000990707,2015,John Millman
103926,0.000988795,2015,Daniel Munoz De La Nava
105806,0.000950941,2015,Mirza Basic
105074,0.000936428,2015,Ruben Bemelmans
103401,0.000907323,2015,Jan Hernych
104979,0.00090249,2015,Andrey Golubev
105464,0.000897384,2015,Christopher Rungkat
104499,0.000897384,2015,Jimmy Wang
104695,0.000897384,2015,Fritz Wolmarans
104907,0.000897384,2015,Jose Rubin Statham
104631,0.000897384,2015,Harshana Godamanna
105177,0.000897384,2015,Aditya Hari Sasongko
105299,0.000897384,2015,Dzmitry Zhyrmont
106378,0.000875545,2015,Kyle Edmund
106220,0.000870203,2015,Dimitar Kuzmanov
105952,0.00084989,2015,Renzo Olivo
105585,0.000841788,2015,Ze Zhang
104349,0.000832931,2015,Rui Machado
104547,0.000814386,2015,Horacio Zeballos
104308,0.000807777,2015,Michal Przysiezny
106065,0.00079567,2015,Marco Cecchinato
106342,0.000793605,2015,Martins Podzus
105967,0.000784121,2015,Henri Laaksonen
104594,0.000783429,2015,Marinko Matosevic
104978,0.000771779,2015,Daniel Brands
105156,0.000771366,2015,Federico Zeballos
106426,0.000771366,2015,Christian Garin
104873,0.000765846,2015,Aleksandr Nedovyesov
104997,0.000760304,2015,Igor Sijsling
105936,0.000755772,2015,Filip Krajinovic
105656,0.000744186,2015,Marcelo Arevalo
104591,0.000730225,2015,Patrick Tierro
105223,0.000718163,2015,Juan Martin Del Potro
103163,0.000708334,2015,Tommy Haas
106237,0.000691798,2015,Chieh Fu Wang
105376,0.000682524,2015,Peter Gojowczyk
105051,0.000666882,2015,Matthew Ebden
106033,0.000654585,2015,Romain Arneodo
104112,0.000654585,2015,Benjamin Balleret
104810,0.000645349,2015,Zhe Li
106247,0.000645349,2015,Nik Razborsek
105271,0.000645349,2015,Gonzalo Escobar
108766,0.000645349,2015,Samir Iftikhar
104494,0.000645349,2015,Adrian Ungur
104604,0.000645349,2015,Ruben Gonzales
104600,0.000645349,2015,Treat Conrad Huey
105566,0.000645349,2015,Shahin Khaledan
